Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"Main Statistical Area Structure (Main ASGS) (UR) by SA2 (POW) by MTW15P Method of Travel to Work (15 travel modes)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

" UR - Sydney (SA2)"
"MTW15P Method of Travel to Work (15 travel modes)","Train","Bus","Ferry","Tram","Taxi","Car, as driver","Car, as passenger","Truck","Motorbike/scooter","Bicycle","Walked only","Other Mode","Worked at home","Did not go to work","Not stated","Not applicable","Total",
"Rosemeadow - Glen Alpine",24,21,0,0,3,1302,153,27,11,0,39,14,195,233,28,0,2045,
"Bargo",6,0,0,0,0,573,39,28,4,3,39,13,110,101,14,0,919,
"Douglas Park - Appin",28,0,0,0,3,1189,74,67,0,8,63,6,244,192,21,0,1895,
"Picton - Tahmoor - Buxton",22,13,0,0,6,2516,198,78,10,4,106,16,303,407,57,0,3752,
"The Oaks - Oakdale",9,5,0,0,0,727,54,59,8,0,75,10,301,92,24,0,1362,
"Blackheath - Megalong Valley",41,0,0,0,0,503,37,17,3,9,76,8,254,127,9,0,1085,
"Blaxland - Warrimoo - Lapstone",86,9,0,0,0,1952,149,30,10,14,98,13,411,355,21,0,3144,
"Blue Mountains - North",0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,33,
"Katoomba - Leura",274,25,0,0,44,3592,306,38,27,21,390,45,498,789,65,0,6116,
"Lawson - Hazelbrook - Linden",36,5,0,0,0,849,55,21,5,6,66,9,272,164,13,0,1513,
"Springwood - Winmalee",140,27,0,0,14,2959,221,46,11,15,159,20,426,586,38,0,4663,
"Wentworth Falls",34,5,0,0,6,611,41,10,5,3,30,0,217,125,9,0,1099,
"Blue Mountains - South",0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,13,
"Cambridge Park",22,28,0,0,0,748,115,21,4,4,41,14,143,174,6,0,1308,
"Castlereagh - Cranebrook",39,19,0,0,4,1881,135,104,5,4,62,17,389,253,33,0,2939,
"Emu Plains - Leonay",112,7,8,0,3,3128,266,53,30,21,65,9,225,322,30,0,4284,
"Glenmore Park - Regentville",10,8,0,0,0,1271,116,34,5,4,66,14,301,243,14,0,2092,
"Jamisontown - South Penrith",124,72,0,0,14,3884,397,58,43,16,93,30,195,562,40,0,5522,
"Kingswood - Werrington",311,81,0,0,11,6135,400,48,35,29,224,16,193,929,61,0,8468,
"Mulgoa - Luddenham - Orchard Hills",25,10,0,0,3,1683,104,90,7,8,65,14,288,210,15,0,2524,
"Penrith",996,379,5,4,25,14238,1141,131,106,65,296,53,161,2124,164,0,19882,
"Warragamba - Silverdale",5,4,0,0,0,565,41,49,3,0,19,6,116,62,13,0,885,
"Richmond - Clarendon",122,39,3,0,4,5939,399,46,65,78,228,31,233,748,82,0,8034,
"Windsor - Bligh Park",128,34,5,0,7,5042,325,100,30,24,106,25,216,580,60,0,6679,
"Yarramundi - Londonderry",13,30,0,0,0,1217,64,95,17,7,94,17,241,139,10,0,1938,
"Erskine Park",59,39,4,4,16,4558,320,115,30,3,17,19,79,231,64,0,5564,
"St Clair",22,31,0,0,0,1083,161,60,3,0,54,14,207,178,23,0,1837,
"Colyton - Oxley Park",23,13,0,0,3,706,52,25,3,0,26,4,80,76,17,0,1028,
"St Marys - North St Marys",332,134,0,0,7,7090,640,130,53,28,114,26,117,683,106,0,9472,
"Homebush Bay - Silverwater",2976,720,11,0,44,17850,946,186,170,154,302,108,380,1372,213,0,25433,
"Rookwood Cemetery",14,0,0,0,0,116,8,6,0,0,3,0,0,9,6,0,152,
"Auburn - Central",567,28,0,0,25,3557,235,42,26,13,244,33,134,411,54,0,5365,
"Auburn - North",380,64,0,0,19,2920,207,44,28,4,107,18,70,254,56,0,4171,
"Auburn - South",183,28,0,0,12,1726,121,30,3,8,43,21,58,94,25,0,2350,
"Berala",52,0,0,0,0,390,28,9,0,0,33,7,62,65,9,0,657,
"Lidcombe",1475,161,4,5,14,8060,508,102,37,41,247,44,246,688,103,0,11732,
"Regents Park",254,8,0,3,7,1947,119,26,9,10,43,13,66,110,30,0,2634,
"Carlingford",194,128,0,0,5,2780,195,27,10,6,181,30,485,492,44,0,4580,
"Ermington - Rydalmere",642,369,5,0,23,9671,517,132,59,55,150,48,356,693,112,0,12833,
"Oatlands - Dundas Valley",72,34,0,0,3,1037,76,23,3,4,44,12,318,135,19,0,1767,
"Chester Hill - Sefton",455,77,0,0,15,5715,449,109,37,13,94,28,159,373,93,0,7617,
"Fairfield - East",332,49,3,0,13,4081,317,82,11,19,85,27,98,279,61,0,5446,
"Granville - Clyde",612,68,0,0,23,4404,277,74,36,26,140,38,168,437,62,0,6375,
"Greystanes - Pemulwuy",109,67,0,4,8,4140,256,74,24,7,75,21,340,388,54,0,5568,
"Guildford - South Granville",196,60,0,0,11,2651,223,64,13,12,62,34,185,217,54,0,3777,
"Guildford West - Merrylands West",87,43,0,0,17,1678,137,45,3,0,67,23,157,169,18,0,2459,
"Merrylands - Holroyd",380,116,0,0,32,3607,388,53,5,9,206,51,266,513,74,0,5695,
"Smithfield Industrial",198,168,4,6,17,7993,396,146,40,24,22,34,44,323,85,0,9499,
"Yennora Industrial",198,51,0,0,6,2223,132,38,20,5,7,8,8,115,30,0,2851,
"North Parramatta",705,324,0,0,18,5782,376,34,24,27,318,23,275,630,84,0,8636,
"North Rocks",128,103,0,0,3,2565,191,28,13,5,53,18,168,291,25,0,3597,
"Northmead",1718,523,3,0,31,10838,650,40,42,74,569,53,248,1865,140,0,16801,
"Parramatta - Rosehill",13528,4446,27,18,62,21513,1975,150,228,231,1792,113,521,3749,456,0,48813,
"Toongabbie - Constitution Hill",220,35,0,0,4,2155,131,44,6,9,104,33,242,190,32,0,3215,
"Winston Hills",55,77,0,0,5,1572,142,23,13,3,35,9,199,241,23,0,2399,
